NOME			NASCIMENTO			CPF					TELEFONE
Clayton rocha			22/11/2000			000000000000			41984722329
Kamila			06/09/2001			123456780			41999531515
Jorge			11/02/2015			0					41999531515
João			22/07/1997			4561237981			41992231515
Seu jorge		12/07/1986			46578944510			41312531515
Julia			14/12/2000			13132132132			416546465465
Windows			11/04/1975			231321323			44465465465
teste			12/12/2012			121212121212		121212121212
Teste2			12/12/1212			1212121212			1212211212
teste3			12/12/1212			1212211212			1212121212
joãozinho			12/12/2000			13213213213			32132131321
Jo		12/54/2163		13213121321		56465465465
Clayton da Silva da Rocha 22/11/2000 0 41984722329
